Name	Anlageklasse	Gewichtung (%)	Kurs	Nominale	Marktwert	Nominalwert	Sektor	ISIN	Börse	Country	Weighting
ITC LTD	Aktien	0,13	2,86	763569	2183307	2183306,62	Nichtzyklische Konsumgüter	INE154A01025	National Stock Exchange Of India	Indien	0.0013252402418278
CHAILEASE HOLDING LTD	Aktien	0,13	7,47	290479	2169944	2169944,17	Financials	KYG202881093	Taiwan Stock Exchange	Taiwan	0.00131712939916961
CELLTRION HEALTHCARE LTD	Aktien	0,13	106,77	20306	2168010	2168010,39	Gesundheitsversorgung	KR7091990002	Südkorea Exchange (Kosdaq)	Südkorea	0.00131595561851445
SAMSUNG ELECTRO MECHANICS LTD	Aktien	0,13	160,33	13215	2118756	2118755,88	IT	KR7009150004	Südkorea Exchange (Stock Market)	Südkorea	0.00128605873726764
YUANTA FINANCIAL HOLDING LTD	Aktien	0,13	0,93	2272527	2115886	2115885,84	Financials	TW0002885001	Taiwan Stock Exchange	Taiwan	0.00128431665831784
HAIER SMART HOME CLASS H LTD H	Aktien	0,13	4,13	504400	2084096	2084095,99	Zyklische Konsumgüter 	CNE1000048K8	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00126502061070101
TITAN COMPANY LTD	Aktien	0,13	23	90483	2081551	2081550,53	Zyklische Konsumgüter 	INE280A01028	National Stock Exchange Of India	Indien	0.00126347554781563
FIRST FINANCIAL HOLDING LTD	Aktien	0,12	0,8	2545947	2044292	2044291,62	Financials	TW0002892007	Taiwan Stock Exchange	Taiwan	0.00124085984810295
KT&G CORP	Aktien	0,12	74,88	27178	2035094	2035094,09	Nichtzyklische Konsumgüter	KR7033780008	Südkorea Exchange (Stock Market)	Südkorea	0.00123527706061457
QUANTA COMPUTER INC	Aktien	0,12	3,14	647000	2033695	2033695,42	IT	TW0002382009	Taiwan Stock Exchange	Taiwan	0.0012344280851422
NESTLE INDIA LTD	Aktien	0,12	238,7	8514	2032316	2032316,07	Nichtzyklische Konsumgüter	INE239A01016	National Stock Exchange Of India	Indien	0.00123359083667201
ZIJIN MINING GROUP LTD H	Aktien	0,12	1,45	1402141	2028146	2028145,71	Materialien	CNE100000502	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00123105947948915
HINDALCO INDUSTRIES LTD	Aktien	0,12	5,41	371567	2010616	2010616,12	Materialien	INE038A01020	National Stock Exchange Of India	Indien	0.00122041923414847
JSW STEEL LTD	Aktien	0,12	9,88	202768	2003065	2003065,24	Materialien	INE019A01038	National Stock Exchange Of India	Indien	0.00121583594293983
SUN PHARMACEUTICAL INDUSTRIES LTD	Aktien	0,12	9,23	216757	2000971	2000970,88	Gesundheitsversorgung	INE044A01036	National Stock Exchange Of India	Indien	0.00121456469220141
LENOVO GROUP LTD	Aktien	0,12	1,18	1693457	1997606	1997606,19	IT	HK0992009065	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00121252236679075
REALTEK SEMICONDUCTOR CORP	Aktien	0,12	18,12	110000	1992782	1992782,39	IT	TW0002379005	Taiwan Stock Exchange	Taiwan	0.00120959437957175
XINYI SOLAR HOLDINGS LTD	Aktien	0,12	1,69	1176000	1986064	1986063,93	IT	KYG9829N1025	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00120551635705601
