	Name	ISIN	Country	Currency	Exchange	Type of Security	Rating	Primary Listing	Industry Classification	Weighting
737	AURELIUS	DE000A0JK2A8	Deutschland	EUR	XETRA	Equity	-	DAX Index	Financials	0.0003549184
738	GLENVEAGH PROPERTIES	IE00BD6JX574	Irland	EUR	-	Equity	-	-	Consumer Discretionary	0.0003543504
739	TOBII	SE0002591420	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Information Technology	0.0003542778
740	CRANEWARE	GB00B2425G68	Vereinigtes Königreich	GBP	-	Equity	-	-	Health Care	0.0003535288
741	ERAMET	FR0000131757	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Materials	0.0003516827
742	MEKONOMEN	SE0002110064	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Consumer Discretionary	0.000348613
743	RESURS HLDG.	SE0007665823	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Financials	0.0003479983
744	ORESUND INVESTMENT	SE0008321608	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Financials	0.000347754
745	PIAGGIO & C	IT0003073266	Italien	EUR	Milan Stock Exchange	Equity	-	FTSE Italia All-Share Index	Consumer Discretionary	0.0003461787
746	LPKF LASER&ELEKTRO.	DE0006450000	Deutschland	EUR	XETRA	Equity	-	DAX Index	Information Technology	0.0003375472
747	WATKIN JONES	GB00BD6RF223	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Real Estate	0.0003365371
748	ADAPTEO RG	FI4000383898	Finnland	SEK	-	Equity	-	-	Industrials	0.0003356262
749	BELL	CH0315966322	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Consumer Staples	0.0003348077
750	MOBILEZONE HLDG.	CH0276837694	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Consumer Discretionary	0.0003338771
751	RESTORE	GB00B5NR1S72	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0003311587
752	BAYWA	DE0005194062	Deutschland	EUR	NASDAQ National Market System	Equity	B1	NASDAQ Composite Index	Industrials	0.0003303283
753	ZEAL NETWORK	DE000ZEAL241	Vereinigtes Königreich	EUR	-	Equity	-	DAX Index	Consumer Discretionary	0.0003299436
754	BETTER COLLECTIVE	DK0060952240	Dänemark	SEK	-	Equity	-	-	Consumer Discretionary	0.0003290014
755	CREADES RG-A	SE0015661236	Schweden	SEK	-	Equity	-	-	Financials	0.0003286541
756	ING UK REAL ESTATE INCOME TR.	GB00B0LCW208	Guernsey	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Real Estate	0.0003263107
757	NEINOR HOMES	ES0105251005	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Consumer Discretionary	0.0003242101
